Date,Search Trends
2018-02-19,1304
2018-02-20,1244
2018-02-21,1238
2018-02-22,1199
2018-02-23,1187
2018-02-24,1115
2018-02-25,1106
2018-02-26,1253
2018-02-27,1244
2018-02-28,1212
2018-03-01,1160
2018-03-02,1265
2018-03-03,1109
2018-03-04,1054
2018-03-05,1199
2018-03-06,1200
2018-03-07,1248
2018-03-08,1198
2018-03-09,1215
2018-03-10,1141
2018-03-11,1099
2018-03-12,1270
2018-03-13,1253
2018-03-14,1174
2018-03-15,1182
2018-03-16,1176
2018-03-17,1093
2018-03-18,1115
2018-03-19,1220
2018-03-20,1215
2018-03-21,1221
2018-03-22,1202
2018-03-23,1119
2018-03-24,1111
2018-03-25,1141
2018-03-26,1233
2018-03-27,1131
2018-03-28,1111
2018-03-29,1036
2018-03-30,1050
2018-03-31,1027
2018-04-01,1093
2018-04-02,1226
2018-04-03,1221
2018-04-04,1186
2018-04-05,1225
2018-04-06,1214
2018-04-07,1107
2018-04-08,1137
2018-04-09,1227
2018-04-10,1196
2018-04-11,1226
2018-04-12,1244
2018-04-13,1176
2018-04-14,1096
2018-04-15,1102
2018-04-16,1265
2018-04-17,1253
2018-04-18,1209
2018-04-19,1171
2018-04-20,1200
2018-04-21,1122
2018-04-22,1104
2018-04-23,1218
2018-04-24,1197
2018-04-25,1184
2018-04-26,1171
2018-04-27,1149
2018-04-28,1123
2018-04-29,1114
2018-04-30,1153
2018-05-01,1112
2018-05-02,1195
2018-05-03,1172
2018-05-04,1176
2018-05-05,1154
2018-05-06,1131
2018-05-07,1228
2018-05-08,1187
2018-05-09,1044
2018-05-10,1053
2018-05-11,1017
2018-05-12,917
2018-05-13,947
2018-05-14,1227
2018-05-15,1143
2018-05-16,1241
2018-05-17,1206
2018-05-18,1148
2018-05-19,1064
2018-05-20,1041
2018-05-21,1195
2018-05-22,1190
2018-05-23,1215
2018-05-24,1159
2018-05-25,1089
2018-05-26,1037
2018-05-27,1057
2018-05-28,1283
2018-05-29,1195
2018-05-30,1257
2018-05-31,1235
2018-06-01,1183
2018-06-02,1127
2018-06-03,1118
2018-06-04,1225
2018-06-05,1227
2018-06-06,1213
2018-06-07,1191
2018-06-08,1151
2018-06-09,1084
2018-06-10,1118
2018-06-11,1231
2018-06-12,1221
2018-06-13,1243
2018-06-14,1191
2018-06-15,1129
2018-06-16,1016
2018-06-17,971
2018-06-18,1204
2018-06-19,1168
2018-06-20,1116
2018-06-21,1044
2018-06-22,1067
2018-06-23,1011
2018-06-24,1028
2018-06-25,1158
2018-06-26,1067
2018-06-27,1150
2018-06-28,1185
2018-06-29,1220
2018-06-30,1029
2018-07-01,1043
2018-07-02,1171
2018-07-03,1161
